"GENE_SYMBOL","GSM4942759--P10","GSM4942760--P11","GSM4942761--P11","GSM4942762--P13","GSM4942763--P13","GSM4942764--P1","GSM4942765--P1","GSM4942766--P2","GSM4942767--P5","GSM4942768--P5","GSM4942769--P9","GSM4942786--P12","GSM4942787--P12","GSM4942788--P14","GSM4942789--P14","GSM4942790--P3","GSM4942791--P3","GSM4942792--P4","GSM4942793--P4","GSM4942794--P6","GSM4942795--P6","GSM4942796--P7","GSM4942797--P8","GSM4942798--P8","GSM4942799--P8"
"SLC36A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC36A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC36A4",7,16,37,15,15,16,18,28,14,27,21,10,28,14,10,10,9,5,0,19,33,43,53,20,6
"SLC37A1",1,15,5,0,1,4,22,25,1,0,16,2,3,5,11,1,4,0,0,6,9,4,1,2,0
"SLC37A2",22,1,17,1,0,1,0,0,11,21,0,2,0,0,0,4,0,3,0,1,2,0,0,0,9
"SLC37A3",66,48,99,62,48,74,113,80,37,57,75,74,63,56,34,90,71,88,63,62,78,132,115,50,68
"SLC37A4",1,1,23,10,6,1,33,21,13,30,28,29,11,23,0,34,2,2,9,15,21,17,19,8,8
"SLC38A1",49,34,37,97,50,41,56,135,55,90,80,80,61,115,52,58,58,57,83,86,93,36,121,79,72
"SLC38A10",7,27,11,14,6,17,7,66,15,20,22,8,14,32,12,46,10,9,22,30,42,49,52,22,10
"SLC38A11",0,6,37,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,1,4,0,3,6,20
"SLC38A2",96,81,73,138,126,41,85,51,136,234,106,98,114,56,26,147,63,106,87,86,91,171,130,81,80
"SLC38A3",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC38A4",0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,6,0,1
"SLC38A5",3,4,0,18,16,3,27,3,6,27,28,14,8,2,2,13,1,2,5,5,3,1,10,14,18
"SLC38A6",46,9,29,12,3,7,55,5,0,6,9,14,27,24,8,2,9,5,0,15,19,11,26,14,6
"SLC38A7",24,15,19,26,12,15,24,9,10,8,7,14,17,0,14,12,17,5,11,20,19,21,47,6,12
"SLC38A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC38A9",7,13,13,10,3,5,10,4,6,17,25,11,23,27,36,29,11,8,0,21,10,12,20,10,0
