"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"ADGRA1",0,0
"ADGRA2",8,2
"ADGRA3",5,5
"ADGRB1",4,3
"ADGRB2",0,0
"ADGRB3",0,0
"ADGRD1",0,0
"ADGRD2",6,0
"ADGRE1",0,0
"ADGRE2",4,6
"ADGRE3",0,0
"ADGRE5",89,81
"ADGRF1",40,66
"ADGRF2",0,2
"ADGRF3",0,1
"ADGRF4",35,50
"ADGRF5",35,12
"ADGRG1",18,35
"ADGRG2",0,0
"ADGRG3",1,2
"ADGRG4",0,0
"ADGRG5",2,0
"ADGRG6",7,12
"ADGRG7",0,0
"ADGRL1",4,12
"ADGRL2",13,22
"ADGRL3",1,0
"ADGRL4",4,1
"ADGRV1",7,0
"ADH1A",0,0
"ADH1B",0,0
"ADH1C",0,2
"ADH4",0,0
"ADH5",24,39
"ADH6",0,0
"ADH7",14,67
"ADHFE1",0,0
"ADI1",25,65
"ADIG",0,0
"ADIPOQ",0,0
"ADIPOR1",56,71
"ADIPOR2",65,46
"ADIRF",63,15
"ADK",48,64
"ADM",28,23
"ADM2",19,8
"ADM5",2,0
"ADNP",13,11
"ADNP2",12,15
"ADO",20,18
"ADORA1",0,0
"ADORA2A",2,1
"ADORA2B",3,1
"ADPGK",7,6
"ADPRH",1,1
"ADPRHL1",0,0
"ADPRHL2",43,26
"ADPRM",0,1
"ADRA1A",0,0
"ADRA1B",0,0
"ADRA1D",0,0
"ADRA2A",0,0
"ADRA2B",0,0
"ADRA2C",1,0
"ADRB1",0,1
"ADRB2",2,4
"ADRB3",0,0
"ADRM1",25,30
"ADSL",9,15
"ADTRP",0,0
"AEBP1",11,4
"AEBP2",94,107
"AEN",35,44
"AFAP1",22,10
"AFAP1L1",10,3
"AFAP1L2",11,14
"AFF1",43,23
"AFF2",0,0
"AFF3",1,0
"AFF4",834,674
"AFG3L2",15,35
"AFM",0,0
"AFMID",1,5
"AFP",0,0
"AFTPH",53,57
"AGA",7,13
"AGAP1",24,20
"AGAP2",0,9
"AGAP3",47,19
"AGAP4",0,1
"AGAP5",3,0
"AGAP6",1,1
"AGAP9",2,0
"AGBL1",0,0
"AGBL2",0,0
"AGBL3",2,1
"AGBL4",0,0
"AGBL5",41,20
"AGER",2,0
"AGFG1",20,20
"AGFG2",70,79
"AGGF1",13,19
"AGK",3,7
"AGL",1,19
"AGMAT",3,1
"AGMO",0,0
"AGO1",32,48
"AGO2",42,32
"AGO3",12,16
"AGO4",20,25
"AGPAT1",12,10
"AGPAT2",24,37
"AGPAT3",65,73
"AGPAT4",7,2
"AGPAT5",11,21
"AGPS",6,32
"AGR2",3,0
"AGR3",0,0
"AGRN",45,24
"AGRP",0,0
"AGT",0,0
"AGTPBP1",5,5
"AGTR1",0,0
"AGTR2",0,0
"AGTRAP",21,19
"AGXT",0,0
"AGXT2",0,0
"AHCTF1",10,9
"AHCY",35,47
"AHCYL1",143,156
"AHCYL2",21,25
"AHDC1",113,94
"AHI1",9,10
"AHNAK",2211,2404
"AHNAK2",128,122
"AHR",10,11
"AHRR",4,1
"AHSA1",18,36
"AHSG",0,0
"AHSP",0,0
"AICDA",0,0
"AIDA",5,17
"AIF1",4,5
"AIF1L",199,192
"AIFM1",9,10
"AIFM2",18,20
"AIFM3",0,0
"AIG1",12,25
"AIM2",1,3
"AIMP1",18,33
"AIMP2",3,8
"AIP",4,7
"AIPL1",0,0
"AIRE",0,0
"AJAP1",6,4
"AJUBA",33,11
"AK1",17,4
"AK2",86,125
"AK3",33,46
"AK4",7,29
"AK5",1,1
"AK6",7,5
"AK7",1,1
"AK8",0,0
"AK9",0,0
"AKAP1",10,11
"AKAP10",0,5
"AKAP11",19,14
"AKAP12",2,1
"AKAP13",121,100
"AKAP14",0,0
"AKAP17A",107,152
"AKAP3",1,4
"AKAP4",0,0
"AKAP5",0,1
"AKAP6",1,0
"AKAP7",1,12
"AKAP8",17,21
"AKAP8L",12,9
"AKAP9",199,295
"AKIP1",10,27
"AKIRIN1",20,28
"AKIRIN2",30,25
"AKNA",3,10
"AKNAD1",0,0
"AKR1A1",46,75
"AKR1B1",17,11
"AKR1B10",79,141
"AKR1B15",1,1
"AKR1C1",7,36
"AKR1C2",33,40
"AKR1C3",3,8
"AKR1C4",0,0
"AKR1D1",0,0
"AKR1E2",0,0
"AKR7A2",20,20
"AKR7A3",0,0
"AKT1",80,99
"AKT1S1",13,12
"AKT2",273,316
"AKT3",0,5
"AKTIP",9,8
"ALAD",70,94
"ALAS1",103,57
"ALAS2",0,0
"ALB",0,0
"ALCAM",1,0
"ALDH16A1",7,10
"ALDH18A1",119,118
"ALDH1A1",1,1
"ALDH1A2",0,2
"ALDH1A3",437,196
"ALDH1B1",4,1
"ALDH1L1",4,13
"ALDH1L2",0,0
"ALDH2",463,489
"ALDH3A1",299,357
"ALDH3A2",36,102
"ALDH3B1",1,4
"ALDH3B2",93,106
"ALDH4A1",52,32
"ALDH5A1",3,5
"ALDH6A1",1,13
"ALDH7A1",42,81
"ALDH8A1",1,0
"ALDH9A1",35,75
"ALDOA",313,386
"ALDOB",0,0
"ALDOC",4,11
