"GENE_SYMBOL","GSM3036125","GSM3036126","GSM3036127","GSM3036128","GSM3036129","GSM3036130","GSM3036131","GSM3036132","GSM3036133","GSM3036134","GSM3036135"
"XYLT2",4.113115942,4.253325237,4.210183915,4.328346846,4.262370129,4.138663785,4.204640502,4.146910875,4.242539906,4.296466558,4.253325237
"EME1",5.203124895,4.831145391,5.203124895,4.945969129,5.094794237,5.042267728,4.945969129,5.278637019,5.007346209,5.183547027,5.193335961
"ACSF2",4.992645311,5.045065284,5.139421235,5.160449674,5.152092871,4.976599995,5.001670406,5.085238442,4.992645311,5.003129306,5.14990523
"RSAD1",5.033235199,5.072092394,5.091520991,5.086649209,5.104354159,5.060091784,5.042386834,5.024681884,5.033235199,5.052663796,5.130378187
"MYCBPAP",4.278884184,4.185299043,4.419261896,4.30780614,4.252927717,4.289513332,4.289513332,4.417562988,4.288242698,4.353752297,4.400544868
"CACNA1G",4.242852043,4.157875239,4.138991505,4.197062588,4.116324762,4.206033457,4.179120849,4.170149979,4.157875239,4.195642708,4.242852043
"ABCC3",4.806095013,4.929001926,4.716708166,4.844841931,5.022483689,4.796394179,4.804468804,4.747946427,4.861961792,4.817268368,4.794921657
"LUC7L3",5.265953136,6.01423072,5.301028648,5.875460243,5.907094366,5.060881576,6.017813796,4.720814754,5.382871509,5.230877625,5.254261299
"WFIKKN2",4.932158476,4.544834245,4.725585553,4.767606176,4.757649994,4.747693813,4.687956724,4.757649994,4.682549527,4.906336861,4.880515245
"UTP18",4.693128038,4.948500843,4.601193828,4.539699795,4.957536294,4.642027101,4.735827132,4.488536142,4.427540321,4.805492072,4.744202599
"KIF2B",3.792126948,3.748394252,3.879592341,3.858767134,3.688645648,3.988383505,3.972181458,3.729150764,3.890525515,3.846792818,3.628129337
"TOM1L1",4.568293033,4.689660762,4.738207854,4.434591175,4.473516818,4.598078877,5.119682499,4.707070679,4.653250444,4.471198849,4.580429806
"STXBP4",4.81251043,4.690614361,4.690614361,4.732416243,4.911564528,4.797561074,4.878992112,4.618412789,4.790347508,4.867917734,4.878999195
"HLF",4.384943866,4.477106906,4.373423486,4.421908092,4.174369634,4.493774097,4.645491216,4.549669878,4.315821586,4.546229186,4.569269946
"PCTP",4.850744565,4.483665943,4.714157171,4.52291191,4.667956959,4.609938939,4.716305309,4.696965969,4.543422928,5.047088944,4.987331959
"ANKFN1",4.051801219,3.882872407,4.033031351,4.103670654,4.039742167,4.094538013,3.893619912,4.06714009,4.051801219,4.004876549,4.248884832
"NOG",4.113736583,3.79445436,4.273377695,4.164849811,3.783862522,4.037854048,4.291845574,4.34627233,3.944704818,4.536315997,4.526925343
"DGKE",4.617931078,4.446353918,4.513078369,4.628841445,4.691897554,4.412649068,4.520745257,4.547769304,4.398693595,4.570270756,4.779976174
"SCPEP1",4.783345851,4.581849482,4.475174934,4.57734116,4.948098798,4.348575809,4.585229621,4.372241191,4.498880389,4.510733116,4.558144027
"AKAP1",4.138365938,4.099199963,4.197114902,4.147135359,4.252886072,4.182385597,4.200010716,4.103072562,4.197114902,4.285238347,4.157948926
"MSI2",4.881577342,5.412899703,4.714309192,5.06943703,5.043120328,5.130842666,5.086981497,4.613280872,4.881577342,4.960291766,4.94061316
"DYNLL2",5.038810067,5.171654719,4.809351123,5.111679578,5.534145599,4.64227289,4.931740348,4.704860448,4.82142791,4.990502921,4.930118989
"OR4D1",4.112024397,3.811836099,4.620035363,4.124280771,3.813227437,4.068450685,4.124280771,5.161125218,4.493032622,4.18129862,4.077387286
"OR4D2",4.266733588,4.455990833,4.739876699,5.016274854,3.984950437,4.144260713,3.993335189,4.462881265,4.529590872,4.04593347,3.688447564
"EPX",3.840638241,3.725106961,3.751768025,3.860804331,3.774253647,3.841570846,3.870421074,3.851187589,3.822864198,3.947282501,3.867299306
"LPO",4.287496128,4.10787414,4.354854374,4.271958281,4.159150016,4.34447788,4.191380949,4.57009441,4.321175251,4.18645876,4.388533496
"RAD51C",4.33611657,4.564772273,4.650518162,4.588215114,4.417092043,4.525169772,4.597221591,4.444111475,4.53619031,4.498081027,4.555244952
"PPM1E",4.497819387,4.149986779,4.281599117,4.427871373,4.197737375,4.224291298,4.162332144,4.321655681,4.243995592,4.460215862,4.403810574
"PRR11",4.558616569,4.277767605,4.209976476,4.365244098,4.497098243,4.365244098,4.224599676,4.145487188,4.248714264,4.084078664,4.209976476
"SMG8",4.51308179,4.000734763,4.211163006,4.260670497,4.363636639,4.494684455,4.185786031,4.148343798,4.211163006,4.220312061,4.622870439
"GDPD1",4.132916661,3.858834784,3.957504259,4.382788186,3.927288444,4.171306163,3.935422368,4.073699076,4.176769761,3.968467534,4.187733036
"YPEL2",4.147134415,4.675944999,4.200015473,4.491669845,4.216142162,4.191094191,4.625259025,4.074203659,4.30577759,4.210591685,4.221167897
"DHX40",4.784295064,5.057749248,4.828047734,4.733209972,4.831599524,4.905391687,5.077573402,4.659417809,4.76241873,4.71866606,4.871800403
"CLTC",4.480279544,4.773420466,4.333709083,4.325824684,4.865582488,4.43055381,4.615843802,4.076085998,4.401356988,4.277335829,4.254786527
"VMP1",6.806292699,7.7269319,5.951413441,6.310872955,7.890297155,5.844410886,7.186512278,5.394315907,5.721253641,6.37885307,5.973333422
"RPS6KB1",5.141235959,5.163122893,5.097462091,5.144574798,5.160727769,5.023427514,5.257645596,5.079962913,5.239727161,5.119349025,5.250670628
"CA4",4.257964191,3.971423198,3.980666456,4.222408823,4.066185439,4.084564661,4.102943882,3.983478942,4.193261386,4.110072066,4.239477675
"C17orf64",3.984997389,3.808346076,3.943432374,3.977674765,3.9100698,4.138236556,3.859366077,4.121335315,4.068127418,4.120083686,4.068127418
"PPM1D",4.674481398,4.640356063,4.623293395,4.637593763,4.627679064,4.637593763,4.637593763,4.647508463,4.606230728,4.65741873,4.708606733
"BCAS3",4.974722062,5.280809234,5.112954978,5.170413055,5.257142145,4.927571601,4.93624451,5.0229736,4.915479384,4.905605604,4.875984265
"TBX2",4.81039187,4.479386531,4.40099053,4.523270318,4.48395137,4.601908213,4.493781107,4.533100055,4.514229198,4.583914533,4.540361199
"TBX4",4.541374242,4.647249232,4.594311737,4.608645145,4.533541772,4.583610687,4.75885189,4.608645145,4.604899236,4.753124221,4.626074234
"EFCAB3",4.651414245,3.967724386,4.286155279,4.413658084,4.204850942,4.331950942,4.13222237,4.649700942,4.407908268,4.473467569,4.735704775
"METTL2A",4.770244846,5.063186898,4.707471549,4.803514116,5.198970608,4.719374437,4.929723635,4.635234758,5.125960195,4.770244846,4.665622685
"TLK2",4.906044832,5.388376002,4.780638727,4.910953953,5.142728021,4.82181008,5.035755374,4.652436723,4.877104961,4.809578598,4.819225221
"MRC2",4.40544441,4.441912048,4.344665015,4.36255276,4.385970101,4.432804783,4.518668367,4.167408252,4.320353256,4.344665015,4.356820894
"TANC2",4.511980547,5.21445753,4.41291328,4.823108952,4.794572759,4.528234954,4.566283212,4.480674632,4.566017238,4.511980547,4.511980547
"ACE",4.317004909,4.298320066,4.317004909,4.331423997,4.268999107,4.34925968,4.304670472,4.358177521,4.335689752,4.204895849,4.317004909
"KCNH6",4.179447216,4.060242639,4.092752978,4.219534141,4.04640897,4.077886274,4.172318186,4.16444886,4.060242639,4.081916198,4.038569079
"DCAF7",5.092891223,7.470016829,5.028144611,5.122246016,6.325740873,5.057442447,6.085041902,4.881547045,4.981897031,5.028144611,5.046643643
"TACO1",4.187590761,4.14622635,4.104861939,4.141276725,4.069645868,4.181071646,3.958220089,4.061686884,4.053156426,4.187590761,4.249637377
"MAP3K3",4.468459853,4.657986537,4.364220177,4.489234211,4.471171693,4.471171693,4.543421764,4.308609034,4.39264918,4.354743843,4.39264918
"DDX42",5.220984983,6.35155679,4.960774011,5.258935382,5.335280368,5.16350415,5.659746556,4.924926071,5.086393101,5.131257061,5.149202646
"PSMC5",5.018790236,5.635211877,4.669177961,4.827676145,5.125005741,4.734760646,5.171463491,4.669719797,4.807182806,4.751980868,4.81638313
"MILR1",5.206342506,6.031902329,5.735547521,5.654287825,5.554424119,5.704219678,6.120318452,5.13000337,5.597954217,5.35451991,5.418024512
"CEP95",4.43925996,5.673803553,4.448205928,4.615558257,4.874354121,4.510122905,4.941449345,4.356762392,4.519773673,4.43925996,4.528719641
"RGS9",4.372051158,4.287036365,4.447619863,4.462665189,4.363377244,4.417534305,4.31824636,4.471691366,4.447619863,4.475958128,4.532634657
"PRKCA",4.680374841,4.667967052,4.605928103,4.734769523,4.634157333,4.494848148,5.191394075,4.525805744,4.680374841,4.76722937,4.75482158
"CACNG5",4.828250311,4.619456152,4.838690019,4.685014235,4.78340953,4.881804824,4.635816588,4.931002471,4.650775276,4.744732648,4.598576736
"CACNG4",4.25213392,3.951736358,3.787002211,4.088424834,3.884030986,3.750730651,4.061764767,3.901804364,3.883904651,3.835453431,3.912975382
"CACNG1",3.992041903,3.915555127,4.135454608,4.097833381,4.027781198,4.325502975,4.185398609,4.264207315,4.154576302,4.116332914,4.326671548
"PITPNC1",4.583753901,4.388991468,4.248329712,4.283035348,4.786011302,4.439699989,4.827238839,4.159352737,4.205049172,4.735235792,4.713595522
"NOL11",4.896701171,5.009526151,4.840288682,4.835172475,4.907784853,4.633471425,5.101417862,4.576995131,4.716181204,4.648486216,4.704898706
"AMZ2",5.055301624,5.51458012,4.978755208,5.099063548,5.599124963,4.885922617,5.443368129,4.967899898,4.924079197,5.284940872,5.317746479
"ARSG",4.499423085,4.626454772,4.733943122,4.609317559,4.697400849,4.477192625,4.582892572,4.459575967,4.528738089,4.440793075,4.460336412
"PRKAR1A",5.25788532,5.168064126,5.221956842,5.016434179,5.256092816,5.185082849,5.291597799,5.362607766,5.446509828,5.464474067,5.662080694
"MAP2K6",4.273163011,4.196512116,4.206093478,4.271486525,4.199724421,4.280456787,4.459862045,4.307367576,4.282744373,4.340232544,4.522278419
"KCNJ16",4.444501403,4.172759443,4.468131138,4.229268382,4.339791802,4.497682401,4.931881549,4.229268382,4.586279816,4.373612196,4.491760874
"KCNJ2",4.263162387,4.349638906,4.411407848,4.761734719,4.266457266,4.196808874,4.630176646,4.181331454,4.448469213,4.337285117,4.386700271
"SOX9",4.342977565,4.206166913,4.153547431,4.175632147,4.159039782,4.316667245,4.37474052,4.175632147,4.248262498,4.100927949,4.18511912
"SSTR2",4.672837452,4.774990631,4.928220399,4.665969082,4.867969791,4.607052208,5.069970499,4.842719702,5.173388029,4.938435717,4.846497856
"COG1",4.637580712,4.780844833,4.577887328,4.587379162,4.826760291,4.456105639,4.981199728,4.749540572,4.554009974,4.601764681,4.649519388
"C17orf80",4.698273809,4.716827313,4.651890051,4.798585214,4.569664746,4.780271576,4.661232933,4.853526126,4.80959483,5.097174133,4.688997058
"RPL38",4.934860055,5.410690263,4.480658493,5.356143191,5.413429474,4.660524046,5.14336557,4.21041754,4.988931669,4.675316305,4.329257972
"TTYH2",4.619374961,4.62817201,4.698548398,4.659527755,4.678529635,4.612023055,4.650026815,4.621523995,4.62817201,4.522607427,4.619374961
"DNAI2",4.526996329,4.40259968,4.574841194,4.599006451,4.429051755,4.64373137,4.482721659,4.634786386,4.584410167,4.632255032,4.766220655
"KIF19",4.723856992,4.496994547,4.645327684,4.67242124,4.604895264,4.643481536,4.57595556,4.662774672,4.654053163,4.723856992,4.776209864
"GPR142",4.176299142,4.128965437,4.147898919,4.062310729,4.207027667,4.143714007,3.9266386,4.170848432,4.053231509,4.337233739,3.892296912
"GPRC5C",4.576076436,4.620274325,4.576076436,4.586139096,4.566734749,4.527926054,4.527926054,4.547330401,4.452322347,4.514199392,4.531878547
