"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"C9orf40",1631,1340,1706,1354,1045,1058,1410,761,2343,1365,1786,3513,967,1163,3010
"C9orf43",109,2,117,136,78,0,8,171,156,34,71,18,41,0,105
"C9orf50",16,21,0,10,1,65,1,167,35,74,66,24,16,0,20
"C9orf57",0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
"C9orf64",2080,954,1876,4511,2114,1714,1983,1982,2333,2578,450,1574,2397,91,1830
"C9orf72",3954,677,1480,1741,1684,1452,1123,1308,2701,1247,534,2738,1774,1873,1616
"C9orf78",15096,6295,10843,15443,11361,11417,14039,10463,18517,12982,12812,21973,14992,46376,14019
"C9orf85",1097,1503,2019,1842,935,934,907,680,2158,960,1666,1259,1235,76,1718
"C9orf92",22,0,9,0,5,6,4,0,8,0,7,0,12,7,10
"CA1",55,40,82,0,691,0,8986,1,67,65,938,43,46,26795,28
"CA10",1,14,13,2,0,0,8,25,1,0,1,2,1,0,137
"CA11",30,259,647,284,217,723,339,1500,1088,327,479,1818,1014,804,2106
"CA12",146,339,815,55312,702,28294,740,8107,3878,1186,691,8561,1880,1625,380
"CA13",491,729,300,544,121,164,393,1085,989,650,5317,3810,746,633,809
"CA14",18,10,32,31,2,123,28,33,39,91,106,80,5,241,64
"CA2",5592,3715,1100,30418,1254,10323,1788,3039,12847,21576,2406,3265,4364,4632,12913
"CA3",162,438,62,24,13262,101,15861,17,41,61,731,1449,32,1,102
"CA4",3,1,45,0,3770,96,3106,6,1,6,0,0,183,279,0
"CA5A",1,3,3,1,0,3,0,1,4,1205,12,19,4,1,1
"CA5B",337,285,147,2717,532,224,483,1305,390,475,2283,1148,1391,685,716
"CA6",94,3368,8,1,4,1,2,40,282,15,11290,232,18,7,1091
"CA7",0,2,3,4,3,18,0,8,1,1,2,3,0,0,0
"CA8",533,10,68,7343,428,52,631,11681,20,398,55,2428,613,83,583
"CA9",7831,134,1009,16,14,9173,1147,2244,5836,2880,342,1686,0,2247,135
"CAAP1",5246,1777,2998,5208,1701,1717,1561,2643,6659,2772,1911,3840,2288,539,3222
"CAB39",6250,5166,5481,9165,13041,11113,9719,7481,14281,7816,3216,10701,12563,5002,15389
"CAB39L",951,1012,1032,614,3877,898,2084,1378,2798,774,1555,2709,5329,43,7357
"CABIN1",843,1537,1003,1715,1236,1764,1468,2377,2816,2011,4438,4861,3162,1201,3637
"CABLES1",923,2117,1477,5171,7541,924,4463,1300,1492,3168,2752,8187,2609,450,12730
"CABLES2",1990,2706,1997,1755,437,1141,921,1100,1941,4514,2292,2494,2381,714,6866
"CABP1",13,46,19,34,164,429,122,166,0,4,57,98,54,11,22
"CABP2",28,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CABP4",83,80,177,24,98,347,140,24,361,179,12,44,511,70,174
"CABP5",0,0,1,0,16,0,15,0,0,0,0,2,1,165,1
"CABP7",15,2,34,46,12,47,24,2,116,63,1,142,106,83,28
"CABS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CABYR",1112,579,387,422,148,92,336,72,802,591,2160,1479,244,236,1055
"CACFD1",1795,1062,3052,10851,797,2227,3101,1790,3969,10538,2881,3457,9438,632,6444
"CACHD1",343,418,381,100,3239,870,3618,1369,468,115,1074,1099,942,289,8884
"CACNA1A",829,191,182,53,97,88,210,560,10,125,1515,1792,264,267,358
"CACNA1B",3,2,3,3,0,2,42,145,52,183,441,1,3,137,31
"CACNA1C",58,274,1176,109,327,716,995,2043,237,82,630,1799,568,29,540
"CACNA1D",55,132,161,1662,5,14,265,240,31,83,704,1060,15,23,104
"CACNA1E",41,8,25,0,88,26,14,12,1,1,22,12,16,43,7
"CACNA1F",33,8,40,276,48,108,57,9,219,28,337,2,74,29,30
"CACNA1G",10,0,19,2,17,196,18,17,15,0,7,30,1,170,3
"CACNA1H",57,118,121,569,295,484,610,1471,141,1649,70,324,50,803,160
"CACNA1I",0,165,9,26,69,35,17,74,2,4,178,10,79,1,48
"CACNA1S",1,0,0,0,6,4,100,6,11,0,1,0,2,1,1
"CACNA2D1",422,211,423,342,2951,579,1787,536,99,150,268,164,694,2,324
"CACNA2D2",23,137,14,745,38,145,388,114,136,117,302,116,88,230,84
"CACNA2D3",0,153,1282,8,108,91,107,9,10,33,78,400,114,1980,42
"CACNA2D4",96,195,464,244,751,988,672,230,34,165,76,161,287,97,195
"CACNB1",346,322,404,55,189,305,239,1062,1684,982,2062,2308,307,164,985
"CACNB2",240,215,170,51,99,209,295,427,2540,115,379,686,92,84,232
"CACNB3",1216,1237,2644,2177,813,1817,1479,993,7147,3448,4869,5668,1024,301,3797
"CACNB4",12,51,46,80,115,51,240,125,157,467,80,217,295,17,44
"CACNG1",0,1,83,104,0,0,21,20,12,0,6,3,150,0,9
"CACNG2",3,5,1,0,6,5,3,4,0,2,1,2,4,4,3
"CACNG3",0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
"CACNG4",0,33,1602,2161,6,189,653,928,105,107,361,463,2687,0,865
"CACNG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNG6",0,1,0,0,0,0,1,13,1,15,0,1,25,0,0
"CACNG7",0,0,0,0,1,0,0,0,0,0,0,1,0,4,1
