"ABCC6",0.13833,5.33812,0.11375,0.0181023,0.0237182,0.101544,0.605087,0.832513,0.0356502,0.244008,0.448266,0.0809849,0.43176,0.283785,0.0765988,0.0594713,0.00549297,0.471901,0.499765,0.417251,1.33929,0.167191,0.210533,0.118338
"ABCC8",0.317789,0.130249,0,0.00652774,0.0337086,0.0415164,0.0862209,0.0498599,0.0241992,0,0.223174,0.285792,0,0.0047361,0,0,0.00529787,0,0.174542,0.461353,0.238957,0.0946552,0.315451,0
"ABCC9",1.05682,0.353471,0.210512,0.384066,0.267136,1.77468,0.29686,1.71148,0.255789,1.4508,7.05786,0.246635,0.693628,1.51179,2.8184,1.1023,0.339508,0.158879,3.34623,1.34057,0.42167,4.25223,1.20051,0.347099
"ABCD1",2.128325,4.95578,2.352915,2.87068,6.6146,9.1768,9.1045,6.7072,9.4236,1.924715,7.6672,4.78597,4.323065,6.60735,6.916,7.12065,10.49255,6.2208,4.814705,3.06815,3.455505,5.81225,4.693215,6.8426
"ABCD2",0.178168,0.442021,0.00629596,0.0790372,0.178563,0.0076492,1.21722,0.407874,0.619594,0.0232505,0.300992,0.0620272,0.976461,0.157366,0.0379662,0.446042,0.0574664,0.38586,0.449307,1.98784,0.0614437,0.431057,0.132876,0.0452011
"ABCD3",21.8615,27.0573,16.0912,12.2436,28.4,31.4857,11.6366,14.389,16.0154,16.8055,11.8916,17.3216,10.0778,23.4578,17.2614,12.7563,17.6065,9.67908,5.25235,6.94617,21.7525,13.338,14.4965,17.4123
"ABCD4",10.2152,23.2147,15.4588,21.3457,18.6934,27.7042,17.4014,12.1699,24.7372,24.9933,11.2951,34.0414,18.0237,20.7065,20.8859,21.5931,5.94371,16.6276,24.7669,26.0601,35.7421,19.8446,29.3251,10.4769
"ABCE1",39.1115,19.6345,27.045,28.4815,51.3377,52.9691,21.608,23.79,20.813,40.3373,24.3168,30.3182,14.9958,29.5255,30.7632,16.1856,25.654,18.4894,13.8242,18.1708,29.86,36.8655,31.121,26.9088
"ABCF1",3.40731428571429,4.06022857142857,6.05772857142857,6.05531428571429,5.67685714285714,13.4877285714286,6.6446,3.67261428571429,8.9088,9.06915714285714,3.58787142857143,4.1472,5.16117142857143,4.865,4.19792857142857,7.31624285714286,5.29702857142857,4.55427142857143,2.99871428571429,4.54591428571429,10.8571571428571,2.80174285714286,6.06575714285714,8.01504285714286
"ABCF2",30.8571,14.3647,31.7273,17.3471,37.8985,36.3404,23.3773,17.7429,17.3904,24.0761,25.4225,34.752,12.6623,22.0744,34.2604,22.3408,37.7215,17.5356,11.6555,16.6712,26.5974,17.233,26.7214,44.9105
"ABCF3",16.8295,18.4903,23.313,22.9095,19.2005,27.7337,28.9068,31.7381,22.2379,18.0065,27.1131,28.0659,24.1481,25.3536,21.1723,23.5694,29.1249,25.0675,26.4565,32.3694,55.4949,15.4564,22.9222,28.3094
"ABCG1",3.88753,17.0082,1.22834,0.981191,1.3831,0.961584,15.1375,17.1575,4.62977,1.777,2.57413,1.27064,5.63605,5.68816,1.55277,7.02845,4.06412,9.70721,27.8433,11.5325,0.835585,4.07928,1.73146,2.15731
"ABCG2",1.1826,9.7012,0.351938,0.307373,0.141111,0.268293,3.33014,3.56358,0.327048,1.06942,1.69146,1.57901,0.963206,0.659545,0.131206,1.92648,0.257484,0.521638,1.39854,1.26105,1.64385,4.23307,0.971469,0.176521
"ABCG4",0.402537,0.0474937,0.0266029,0.0342763,0.0260949,0.045891,0.0978578,0.0808063,0.00758167,0.0836523,0.167909,0.0102305,0.0483927,0.0370608,0.314664,0.038427,0.0414605,0.0233495,0.124597,0.0214912,0.163638,0.088866,0.13046,0.0328899
"ABCG5",0.018388,3.93877,0.0177646,0.456119,0.0161081,0.0269839,0,0.102617,0.208246,0.0862046,0.050713,0.0262913,0.0189781,0.0498647,0,0.00779717,0,0.940001,0.0653154,0,0.0420579,0.0604573,0.0412614,0.434948
"ABCG8",0.00527196,3.46772,0,0.0100981,0.0100824,0,0,0.00734674,0,0.00807205,0,0,0,0,0,0.00732075,0,0,0.00780214,0.00791839,0.0235814,0,0,0
"ABHD1",0.247895,0.237855,0.142017,0.0679832,0.133687,0.0526215,0.378848,0.211953,0.139985,0.116076,0.595148,0.366193,0.150054,0.256982,0.0822859,0.637917,0.179409,0.147409,0.287557,0.599897,1.12438,0.130368,1.58039,0.465787
"ABHD10",15.9843,13.5713,12.8725,17.0669,16.7788,22.5669,13.1956,16.9612,8.86013,13.0568,25.3759,13.5852,9.79348,8.19878,16.4475,11.1688,9.96519,11.236,9.93568,13.1824,22.2461,7.24499,14.2721,12.103
"ABHD11",5.5239,4.51245,5.6579,2.189005,4.553255,7.26645,4.55763,2.948175,5.70845,4.03283,5.9854,7.55195,3.443845,5.673,6.6472,4.79311,9.027,3.848595,4.49995,4.691245,6.1854,4.104475,6.93545,3.64007
"ABHD12",23.6698,38.7509,36.7725,20.7712,17.6465,17.9383,52.4425,27.4773,51.2869,33.053,54.7476,33.704,59.4324,44.3646,39.4312,40.0532,55.9746,69.1085,54.8446,15.3827,30.7019,28.2154,31.8784,46.7802
"ABHD12B",3.84063,9.1847,3.40372,0.323742,0.0285176,4.24396,0.0557542,0.620959,0.140704,0.266412,1.94554,0.690761,5.51382,1.12963,0.00777248,0.0572684,2.92217,0.38611,0.250457,0.031018,0.752142,22.479,3.19535,0.0793012
"ABHD13",6.59545,7.6642,4.1116,6.87795,8.66984,5.81866,4.22476,6.15469,4.23865,4.61711,4.48143,4.86489,3.53778,6.79415,2.54884,3.77871,1.53918,4.2435,2.9843,5.06541,5.27754,5.07231,5.45615,4.28733
"ABHD14A",6.57618,7.65337,8.35769,16.5117,9.97188,12.8898,12.5687,23.1904,8.08325,10.9927,22.0907,9.58609,27.9505,15.2045,24.8255,18.85,9.62455,17.8776,15.8459,16.1097,15.3143,9.01807,47.345,15.3669
