"GENE_SYMBOL","GSM5133931--MGH27","GSM5133940--MGH98"
"AGPAT4",194,211
"AGPAT5",1442,3194
"AGPS",8664,5511
"AGR2",0,2
"AGR3",0,1
"AGRN",20106,10583
"AGRP",0,1
"AGT",26,46
"AGTPBP1",1413,473
"AGTR1",132,40
"AGTR2",0,0
"AGTRAP",3479,2438
"AGXT",0,4
"AGXT2",0,0
"AHCTF1",3218,4822
"AHCY",12187,11955
"AHCYL1",8450,11965
"AHCYL2",7924,6008
"AHDC1",1553,2979
"AHI1",1314,684
"AHNAK",15481,22993
"AHNAK2",27,216
"AHR",7720,6979
"AHRR",348,52
"AHSA1",9502,6319
"AHSG",1,2
"AHSP",0,1
"AICDA",1,2
"AIDA",1318,2807
"AIF1",521,638
"AIF1L",5601,3736
"AIFM1",3648,5134
"AIFM2",408,1792
"AIFM3",316,45
"AIG1",63,1076
"AIM2",8,81
"AIMP1",6817,4887
"AIMP2",2334,1622
"AIP",5852,5940
"AIPL1",0,1
"AIRE",8,0
"AJAP1",15,0
"AJUBA",644,865
"AK1",705,415
"AK2",17391,16079
"AK3",2780,6193
"AK4",149,1812
"AK5",2,318
"AK6",2167,1680
"AK7",0,2
"AK8",33,30
"AK9",305,162
"AKAP1",2953,4124
"AKAP10",1735,2617
"AKAP11",364,2992
"AKAP12",562,949
"AKAP13",2886,5778
"AKAP14",2,0
"AKAP17A",6015,3982
"AKAP3",110,38
"AKAP4",0,0
"AKAP5",118,42
"AKAP6",21398,985
"AKAP7",370,260
"AKAP8",2644,2330
"AKAP8L",5572,2605
"AKAP9",7663,4939
"AKIP1",1934,1948
"AKIRIN1",6482,5834
"AKIRIN2",1992,1656
"AKNA",498,1164
"AKNAD1",9,68
"AKR1A1",7261,2991
"AKR1B1",4586,10624
"AKR1B10",2,35
"AKR1B15",1,3
"AKR1C1",17,149
"AKR1C2",39,54
"AKR1C3",253,114
"AKR1C4",0,0
"AKR1D1",1,1
"AKR1E2",19,295
"AKR7A2",3197,4615
"AKR7A3",26,66
"AKT1",8690,15403
"AKT1S1",4411,3817
"AKT2",7478,7653
"AKT3",9900,15858
"AKTIP",955,1150
"ALAD",3946,2503
"ALAS1",3250,6781
"ALAS2",12,1
"ALB",0,6
"ALCAM",177,1468
"ALDH16A1",2452,1744
"ALDH18A1",8063,4287
"ALDH1A1",59272,1270
"ALDH1A2",661,80
"ALDH1A3",272,194
"ALDH1B1",98,102
"ALDH1L1",1,13
"ALDH1L2",151,1026
"ALDH2",431,285
"ALDH3A1",1,21
"ALDH3A2",3703,5994
"ALDH3B1",426,1423
"ALDH3B2",1033,14
"ALDH4A1",1011,1208
"ALDH5A1",401,1688
"ALDH6A1",1421,2512
"ALDH7A1",3263,4294
"ALDH8A1",85,24
"ALDH9A1",10923,8621
"ALDOA",72783,137229
"ALDOB",3,7
"ALDOC",589,413
"ALG1",1681,2029
"ALG10",239,217
"ALG10B",748,1068
"ALG11",570,647
"ALG12",725,1183
"ALG13",3115,2645
"ALG14",2241,1310
"ALG1L",14,57
"ALG1L2",32,23
"ALG2",5794,2139
"ALG3",5557,2346
"ALG5",3736,4716
"ALG6",3821,2624
"ALG8",5335,4197
"ALG9",563,506
"ALK",66,148
"ALKBH1",819,1378
"ALKBH2",1466,1760
"ALKBH3",1715,1800
"ALKBH4",872,894
"ALKBH5",4757,7248
"ALKBH6",452,143
"ALKBH7",5305,7167
"ALKBH8",762,893
"ALLC",3,1
"ALMS1",573,1156
"ALOX12",176,209
"ALOX12B",0,7
"ALOX15",5,3
"ALOX15B",390,40
"ALOX5",272,216
"ALOX5AP",65,405
"ALOXE3",0,1
"ALPI",0,0
"ALPK1",1108,1200
"ALPK2",1,2
"ALPK3",478,98
"ALPL",572,154
