"GENE_SYMBOL","GSM4799042--1060699","GSM4799043--1014406","GSM4799044--1048276","GSM4799050--1097378","GSM4799052--1048434","GSM4799063--1082336","GSM4799072--1095369","GSM4799074--1020492","GSM4799077--1094680","GSM4799080--1058310","GSM4799081--1092277","GSM4799082--1048939","GSM4799083--1031074","GSM4799092--1050416","GSM4799109--1037570","GSM4799112--1081859","GSM4799114--1048099","GSM4799115--1025388","GSM4799118--1029017","GSM4799119--1072745"
"RPH3A",0,0,0,47,94,4,0,0,1,0,13,0,142,29,3,0,1,1,0,0
"RPH3AL",30,333,166,29,36,0,96,121,0,16,194,0,72,39,19,245,14,7,42,12
"RPIA",218,229,409,305,209,2,538,159,0,456,369,352,49,574,592,156,22,324,80,81
"RPL10",62739,23451,54865,47646,11731,198,51251,31250,2569,93717,54714,27723,3445,44808,56589,20123,65312,71268,11828,8278
"RPL10A",15178,6783,16326,11642,1999,74,25105,9609,97,44454,12299,7519,273,20243,26274,7348,43,24741,2310,1405
"RPL10L",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"RPL11",16472,9507,21558,13035,1161,63,16939,9984,13113,33865,14433,7914,499,12883,25431,5797,33753,16219,2817,858
"RPL12",29612,12188,24694,32578,4876,119,34327,15238,10285,60053,16214,13004,1144,18796,40734,16281,30445,41049,7104,1957
"RPL13",5983,6984,5117,13196,2543,14,10455,4555,6326,6808,2021,5366,616,2242,6827,3952,11589,5300,3911,1134
"RPL13A",51045,27877,65616,23845,9681,255,80765,32296,15297,130941,43191,21499,1177,36684,57138,17063,72807,70225,14562,4676
"RPL14",12376,7514,16179,11323,1819,49,35429,10240,408,47041,15723,5097,780,18049,37017,10490,43,23725,2929,1042
"RPL15",52996,16989,54099,38074,8685,182,65938,36909,9774,158669,62394,23237,2049,83663,76347,16909,70313,102991,6511,2740
"RPL17",3395,1046,4231,1582,283,4,3158,1459,491,9011,2091,822,136,3159,2514,691,3060,5603,358,111
"RPL17-C18orf32",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RPL18",6874,3191,5282,23194,7714,38,23892,5935,2874,16598,9703,6590,962,8823,17232,6070,18820,17456,5438,2343
"RPL18A",10739,5328,9776,15644,2838,34,30597,6101,2505,28978,13478,6421,836,9454,22080,8441,9893,14522,2851,2523
"RPL19",35416,17880,40269,36974,4924,189,70852,18720,1989,104519,37338,13173,927,27922,36904,20367,121522,65016,6401,2447
"RPL21",48982,23506,98044,7926,4301,88,94517,51351,13978,118246,42097,20987,459,44085,38237,15780,127887,84720,9517,1493
"RPL22",5492,3897,5787,4940,1132,12,8813,3544,43,10823,4877,1934,318,4709,9717,3275,5801,5056,732,540
"RPL22L1",1762,487,1585,317,190,5,1004,408,1,3362,887,218,88,695,1270,378,14,3109,366,164
"RPL23",21272,15964,29768,19402,3417,96,43799,17385,1358,61039,20063,11111,597,18529,25393,13145,29814,57591,5720,1563
"RPL23A",31324,14159,52964,17852,2244,78,66134,21766,5281,129108,25708,9705,513,21319,26641,16699,23968,64749,4702,1352
"RPL24",10500,7260,18287,7880,2716,46,18518,6890,10572,33037,10873,5055,405,12180,18987,6854,10218,14518,4092,517
"RPL26",9507,4463,11247,3347,1202,23,13699,5230,2242,22923,4962,3285,204,4388,7447,3979,23696,12950,2306,277
"RPL26L1",1320,177,523,805,162,0,1375,403,2,2346,1468,276,53,1342,1423,640,7,1327,223,26
"RPL27",9849,6580,20815,5734,1906,92,22891,8550,4669,33861,12342,5795,669,8071,15810,9402,5856,21372,2214,1389
"RPL27A",15078,8275,23647,18808,3192,82,28814,9467,9504,44159,16847,8250,733,15845,31520,7884,37890,15281,3554,2003
"RPL28",8190,4749,5864,11718,3543,27,11862,3233,5733,14778,6730,3403,580,4168,10489,2501,8172,8212,3907,2037
"RPL29",14136,8466,18630,19738,3319,77,30418,10913,2172,39376,17265,8773,1083,20492,32421,14061,31037,31502,2915,2633
"RPL3",112006,31671,81674,75919,15861,472,154888,63372,12118,223737,110951,40386,3745,141591,160344,16669,87564,185751,20194,8237
"RPL30",14359,5872,21943,10356,3123,73,60804,10153,56,39148,11868,4332,384,18658,12927,7818,13851,17944,2588,977
"RPL31",26126,14614,43818,16506,2395,100,34848,18941,4189,67324,20616,10739,561,21187,37675,13621,52202,33699,4034,897
"RPL32",18222,10725,33159,20023,3444,116,41570,13742,826,68080,18798,9028,896,17904,42294,14658,36039,29552,4041,1828
"RPL34",15605,13181,38042,14997,3250,103,35103,16721,2127,49915,13107,8385,495,20322,24601,9851,29668,39658,3651,1297
"RPL35",14098,8966,18270,11600,3846,45,18879,6830,9113,30576,9669,8137,1045,10199,19447,10021,22628,21610,6917,1511
"RPL35A",13434,8183,19182,8534,3559,43,22025,9372,7029,34263,11300,5746,657,15029,24994,7739,10768,17545,4162,636
"RPL36",14137,8856,17738,21260,5557,96,25905,6720,5691,34393,9693,7622,1188,7676,22359,7171,39125,12625,6618,2081
"RPL36A",3990,1983,4831,5241,1545,7,6462,2663,2496,10079,2612,1624,414,2500,8476,2067,1034,6451,2248,462
"RPL36A-HNRNPH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RPL36AL",10352,4308,11892,4974,1628,29,8769,4180,146,13756,7680,3282,149,5416,8781,5964,15168,7298,1761,152
"RPL37",12280,6537,17989,13530,5931,45,27535,7200,1241,47617,8276,5989,586,7921,13846,7793,27724,12614,6035,1167
"RPL37A",26015,16087,23056,27970,5929,64,35535,14372,5028,34174,14102,11259,1437,16129,43246,20649,13163,30242,4209,2019
"RPL38",12248,8537,13081,10778,6999,32,16472,5736,16416,28186,9175,4167,430,9596,33438,11337,8029,17209,6228,985
"RPL39",6891,4825,12087,8976,2814,18,26596,6249,4561,17225,4762,2497,582,4173,12782,5339,8367,11655,2477,469
"RPL39L",49,4,4,7,5,0,270,90,0,8,292,5,40,201,529,24,51,483,28,1
"RPL3L",17,0,0,18,74,0,13,0,0,7,12,0,70,1,86,3010,0,7,0,0
"RPL4",38094,14353,28721,21313,6074,103,68905,21636,1093,74115,38435,13040,1011,38339,47290,17124,41185,72097,12088,1132
"RPL41",18764,8159,29494,15476,3101,77,22438,13090,1537,50260,17899,7559,568,12961,24886,7794,23705,18323,3824,1467
"RPL5",44503,20890,43061,27087,3943,149,63317,27622,11494,101828,37262,16526,1433,51428,43685,16268,5886,62765,8185,1404
"RPL6",16355,7982,12606,15727,4175,41,20893,9517,3726,32856,11533,5105,334,10735,28137,8435,9314,12061,8339,1154
"RPL7",59227,20937,65422,29888,7320,136,215866,42648,1566,149137,51636,21317,659,88106,41766,20708,61584,57265,10262,1619
"RPL7A",27819,11828,21343,30772,8862,81,24625,11479,1531,58032,19005,12018,1210,27729,31818,12454,23036,44293,9023,1964
"RPL7L1",6080,1423,1089,4580,1326,11,5570,1500,7,25108,5177,2099,984,14119,5443,2486,0,9587,1000,541
"RPL8",11031,7386,5867,20939,6972,68,92316,12371,6309,12241,26446,12915,1241,28591,17638,10246,44703,28991,7595,4907
"RPL9",26919,25190,42692,12521,2829,52,37848,17509,5214,62219,20726,12083,808,26035,21510,16136,73634,61676,3985,1819
"RPLP0",55709,21973,42533,47102,7737,6621,82054,33026,4643,171643,67065,14681,1873,43719,74605,22690,67506,37914,10396,4233
"RPLP1",43410,20163,42446,56181,31842,1085,119634,32129,15776,134991,40378,25278,4056,36037,75132,51819,27059,74734,28330,6216
"RPLP2",9967,9915,6024,15172,3942,64,27340,8444,6154,31635,9853,7693,673,9023,24968,9914,21057,8805,2775,2489
"RPN1",5806,1721,2105,2516,1757,20,11466,3264,45,5705,16853,693,602,17388,10877,2000,2,7765,334,712
"RPN2",12068,2063,8511,4783,2525,47,30680,6075,549,20155,32710,2464,586,30978,24387,3320,241,24537,1767,669
"RPP14",440,106,267,506,706,1,623,553,0,804,799,554,145,898,1026,747,132,522,449,13
"RPP21",209,137,138,259,182,1,513,128,0,992,210,189,80,420,389,144,1,332,171,111
"RPP25",12,61,7,68,128,0,194,12,0,29,126,3,50,37,184,55,5,202,91,43
"RPP25L",219,92,1088,507,6,1,783,184,0,497,548,142,27,668,555,546,0,1095,80,68
"RPP30",1789,188,485,900,406,1,1416,1000,8,2914,1758,223,252,2104,1072,759,11,1468,240,17
"RPP38",485,238,312,227,115,0,407,270,0,711,296,259,47,374,484,212,18,224,168,52
"RPP40",462,21,28,714,49,0,291,184,0,636,221,97,59,1086,502,104,0,237,75,21
"RPRD1A",2211,761,866,2526,313,3,941,932,1,2243,1442,631,257,3395,1498,747,517,3268,311,206
"RPRD1B",865,493,331,908,452,1,875,614,0,682,505,434,100,698,623,266,7,1233,247,106
"RPRD2",1713,397,614,2553,1111,2,1171,1005,0,2144,1106,509,301,1575,1838,696,9,1473,714,54
"RPRM",0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0
"RPRML",0,0,0,4,1,0,0,0,0,4,4,59,0,0,0,0,0,0,0,0
"RPS10",6751,1901,5473,3927,1538,15,8775,3261,2191,37139,3504,3009,184,8316,5372,1524,3985,10158,1768,555
"RPS10-NUDT3",0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,2,0,0
"RPS11",27490,17429,30837,24603,8258,155,40901,17552,7494,47463,26422,12431,1787,21815,44771,15463,27160,39061,6789,4023
"RPS12",18470,11438,27924,9518,3435,78,31954,11485,53,47860,20295,8628,339,14948,12096,7998,25745,19757,6559,674
"RPS13",20815,9972,24964,22626,2534,94,31125,11942,2249,48305,16595,8110,415,15019,32146,12506,16862,19102,1973,1313
"RPS14",47381,24055,76914,39027,12626,279,87767,40494,22470,143420,47477,22800,869,44414,46591,18108,52787,72620,11737,4385
