"GENE_SYMBOL","GSM5133918--MGH200","GSM5133935--MGH253","GSM5133942--MGHPDL002"
"APOA5",0,0,0
"APOB",0,0,7
"APOBEC1",0,0,0
"APOBEC2",78,77,15
"APOBEC3A",9,2,44
"APOBEC3B",34,52,661
"APOBEC3C",654,1059,10514
"APOBEC3D",399,161,780
"APOBEC3F",562,167,574
"APOBEC3G",1024,474,3031
"APOBEC3H",53,45,161
"APOBEC4",261,0,1
"APOBR",453,97,840
"APOC1",24870,262,21003
"APOC2",50,5,511
"APOC3",0,0,0
"APOC4",0,1,1
"APOD",442,13754,194096
"APOE",35516,32333,533509
"APOF",0,6,3
"APOH",0,16,0
"APOL1",1039,138,21225
"APOL2",2793,2967,8582
"APOL3",1624,167,9851
"APOL4",819,63,3313
"APOL5",35,7,0
"APOL6",2665,115,19351
"APOLD1",110,518,534
"APOM",462,31,133
"APOO",519,1095,1899
"APOOL",1620,593,2327
"APP",39127,38270,47085
"APPBP2",4528,3807,3290
"APPL1",8389,1015,5224
"APPL2",7856,5301,4963
"APRT",870,3448,8085
"APTX",2069,3771,3630
"AQP1",1830,2399,3572
"AQP10",0,1,1
"AQP11",97,153,109
"AQP12A",0,1,0
"AQP12B",0,0,0
"AQP2",0,0,0
"AQP3",249,17,735
"AQP4",90,1,47
"AQP5",10,22,2
"AQP6",1,5,5
"AQP7",87,18,73
"AQP8",1,4,13
"AQP9",150,16,105
"AQR",6916,2065,4604
"AR",1630,33,100
"ARAF",3527,8768,4901
"ARAP1",14959,17144,12569
"ARAP2",4805,159,3302
"ARAP3",1536,17879,2372
"ARC",0,212,53
"ARCN1",14218,3937,10890
"AREG",16,4,1267
"AREL1",2620,3642,5126
"ARF1",3074,27151,45213
"ARF3",491,2397,17319
"ARF4",10247,4747,17931
"ARF5",2510,8176,8583
"ARF6",2576,2631,10459
"ARFGAP1",9961,113213,15455
"ARFGAP2",2313,15739,5622
"ARFGAP3",3958,7374,5356
"ARFGEF1",16834,10221,6175
"ARFGEF2",19314,6349,6835
"ARFGEF3",78,185,205
"ARFIP1",2193,3829,4914
"ARFIP2",1038,8172,2779
"ARFRP1",1076,9769,4219
"ARG1",101,26,8
"ARG2",232,84,215
"ARGFX",0,0,0
"ARGLU1",3891,19383,15959
"ARHGAP1",12976,11337,4857
"ARHGAP10",9498,2441,1206
"ARHGAP11A",531,1398,2024
"ARHGAP12",4390,3408,3267
"ARHGAP15",3607,291,1590
"ARHGAP17",5913,5552,5304
"ARHGAP18",4977,358,5539
"ARHGAP19",20,850,1222
"ARHGAP19-SLIT1",6,0,0
"ARHGAP20",1848,191,410
"ARHGAP21",19579,3487,5234
"ARHGAP22",473,1334,436
"ARHGAP23",4058,4834,2187
"ARHGAP24",6171,818,1230
"ARHGAP25",3272,145,2961
"ARHGAP26",4440,859,1121
"ARHGAP27",851,493,3609
"ARHGAP28",8523,2333,1436
"ARHGAP29",7508,530,785
"ARHGAP30",4146,180,7184
"ARHGAP31",16078,285,6341
"ARHGAP32",9501,3382,1598
"ARHGAP33",970,6777,1444
"ARHGAP35",17305,5526,7286
"ARHGAP36",0,0,1
"ARHGAP39",479,50360,1756
"ARHGAP4",2120,6399,8794
"ARHGAP40",0,2,3
"ARHGAP42",4778,2497,1589
"ARHGAP44",754,128,127
"ARHGAP5",14235,2356,8067
"ARHGAP6",689,125,104
"ARHGAP8",4,39,11
"ARHGAP9",1854,246,3728
"ARHGDIA",5142,18565,14163
