"GENE_SYMBOL","D06","D01","N10","N09","D08","N04","D07","N03","N06","D03","N05","N08","D05","D09","N07","D04","D02","N11","N12","N01","N02"
"CD38",302.805612325375,52.1475036766407,6.81674091080134,36.8581532100091,51.9778925465126,8.36751316976634,240.921688126234,29.7248971706313,115.321597369677,37.8690628531816,240.817574434313,21.0808232055845,181.646954172196,115.30987753224,98.5625306397816,24.3010939777406,121.21568813533,4.11992839823132,12.8458587340482,69.3345329758069,37.3093703769356
"CD3D",5681.0110446155,6902.09262505069,137.480200617386,160.543648877934,1686.50658560199,747.236013867002,1954.59561527283,1540.67305439122,1491.62204617774,1718.96166119929,4638.13884990381,349.987925869467,858.60341739206,4905.41557757024,2993.29657639038,1610.27892502568,2123.37049108601,49.5716996075478,415.351547990276,1506.43704846485,698.005588365903
"CD3E",3127.33793223833,4894.66171901261,132.88269660537,152.16576428843,688.487536668988,512.619129700525,1167.98054161844,1795.8272867564,636.770404611568,1582.9785827761,2480.86313959884,158.52853407932,554.11493813149,2179.93835472974,2992.1604416077,2587.23965993444,1728.27605512302,29.839275491922,484.107292647763,1774.03354477491,904.813404135512
"CD3G",3610.56396632203,3945.58883851279,65.7182350369068,106.510912591845,1385.63396421292,230.086271389839,3850.89615194302,1858.04181436383,957.526074475531,1457.22706227547,2418.38179607164,138.343647309469,310.300507038515,4835.45926831341,1311.00942325937,825.941043718346,1338.01785764172,11.9962243608534,212.400791604995,520.867536558068,287.682506476357
"CD4",166.937461479312,174.179996367146,9.35895022358261,9.22133703593418,65.3592646123917,31.1973775505973,89.248569051085,165.770071627488,71.5084607004675,95.0182148723551,104.542884801156,8.76572235795307,38.6813425231291,131.712181349555,87.5089828394342,70.32561291,109.549710850147,6.17944081496001,35.0409782390267,57.5158997417937,136.842210807359
"CD40",1412.59952138416,2597.25987659346,85.0085907150838,1270.95383032022,566.384305773596,1169.16669411087,973.030848274778,1976.62315407788,1026.83821892508,1228.62456688101,663.192246017106,1105.47462357693,1926.30650020017,1416.86143938361,2115.13973305346,2579.22557536362,2598.21001903219,369.557020574269,1145.73127007164,2701.70255482387,3188.66973776314
"CD40LG",17.9362343086042,103.872529850617,0,1.20910220692497,14.5805355176917,0,43.4460078680751,33.0803934919534,17.3593519888436,15.1794485653695,83.8963380879485,2.25810203051425,0.13033604740339,56.6641505617507,9.419848946,13.6258295069161,14.2710372663791,0.877216786121286,7.9780517117416,12.5235910429262,2.05942182171022
"CD44",0.0559358405231727,2.00948032800017,34.2235566918374,61.6886424367103,5.1633984662199,14.9394386576126,28.7148728208715,3.73098069599082,27.9255549252448,6.39070341869984,29.1299668821569,301.080949598508,212.550852508535,0,53.3267014747999,13.0678738944617,75.0215683364803,34.2429397874686,167.602799922709,151.781385242926,4.28594929109128
"CD47",3500.41709152944,5429.20737886908,2291.75447053856,3390.48690210728,6309.32124243585,8946.35089635109,25498.1821135209,13451.5036199442,6143.60820232858,4959.68048000379,20618.2311434042,1208.63857402328,3101.58519738389,3617.75634373887,6138.04778997137,13032.6175423793,4198.956724,564.990268603974,2429.51982390525,8263.62732613107,1660.72233352006
"CD48",303.325335235224,381.093607282346,10.2204497403167,11.1468538896311,263.609625647131,75.9062236032305,334.549502949276,235.524464449574,82.3806128027819,264.211716040034,231.598953820533,16.0122849809584,13.2612227203286,967.603666747149,351.729314260509,220.042739517801,174.599513736662,16.270602937013,35.1315491993083,201.898440608005,44.9072805641926
"CD52",1401.21644347225,3409.42088084592,42.5242732040136,56.9380643804646,1512.83789159416,209.045441479114,2108.22600948013,2048.54035483988,861.06015266548,1071.14879446599,2805.53525586608,108.921319350918,158.616418628499,2502.25262625381,1442.99225361115,1507.6520471791,1201.7844898121,57.1133015941053,208.333618338089,584.262708527158,288.171011193173
"CD53",49.7421029592216,187.080014153833,1.046784581,2.14300493943971,10.1190304304487,0,66.307446354709,0,50.2235877474583,13.0563318607418,72.2413244482317,1.95874600802552,0,453.29838021035,23.2132440977884,6.15596702637473,102.729580938209,0.339698382038996,0.196602368974436,12.8936898237469,11.25807182
"CD6",2175.60493177047,3297.88491209302,164.137581564984,153.657585506944,646.867148503925,430.312094530577,1724.5466524045,1546.2413824002,365.093430168725,1727.55518304992,2183.04405069992,78.4650606744339,230.491085376125,4664.049877,1566.20928343447,1581.88160872485,1365.18261536166,57.3476524871631,362.280341793716,1089.05252949547,967.461569297987
"CD63",46416.5412178634,60302.3532180825,20058.5127972564,17203.3136600246,63680.6295736374,60513.6136824848,107384.71568398,63880.9831404027,69985.6470074617,38516.9554320287,84945.0100230994,10233.6162125794,38671.5061498957,90495.6893585886,35918.1388684405,41749.9222321202,46130.8371864035,14891.3119821076,25174.1975377741,35468.0689077336,30309.0713557793
"CD68",17802.818103663,6729.91192844658,2226.1520990775,2232.372701,13560.2217320626,7056.53795735045,10362.1466959132,17715.2148743839,7990.09070162359,5072.81468176822,6905.22323127737,2706.98117861764,4837.93363128688,9695.66526909282,4693.40577846253,5230.35763889554,12475.7079712864,4581.32246243721,4906.46803980631,8874.98179363406,13425.5466167292
"CD69",1251.63860338641,1236.8000173014,58.1607305164393,40.2404328242217,261.598705010327,33.5141968008849,3204.44434325662,781.498142334388,2895.99148947666,370.700980072227,926.96424403754,72.2438549558423,36.5777549249985,490.093496013326,1496.03966620612,505.752004606804,552.177850617575,14.067644483223,308.367992898335,272.328607548834,69.8368377133245
"CD70",23.2942056007475,37.4350786443427,0.282445199008498,13.6053939727063,7.9233222852797,0,9.12361584495991,1.36440013672687,34.5906964294533,39.85482335,15.1044053084351,1.37633381520888,5.87863485125224,0,7.41173386774488,9.37668917556805,11.4044739366821,0.458289980963462,6.63094826900901,69.4331539722527,49.1215849625542
