"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"F9",0,0,0,1,0,1,0,0,1,0,0
"FA2H",7,0,41,156,159,225,249,644,264,369,1587
"FAAH",1588,531,771,1786,2448,575,600,915,1322,2000,1207
"FAAH2",66,66,166,265,585,245,195,402,451,395,951
"FAAP100",4823,1525,2989,3689,3338,2757,2539,3008,3656,3323,2573
"FAAP20",5456,2219,2590,5313,3243,2541,3740,3983,3345,2550,4378
"FAAP24",493,209,478,366,293,281,257,318,302,179,213
"FABP1",0,18,1,1,3,4,0,0,0,0,0
"FABP12",0,0,13,0,33,4,0,51,5,75,10
"FABP2",1,0,0,0,0,0,18,0,1,0,0
"FABP3",4707,38,28,14,1034,30,42,80,46,9716,110
"FABP4",1702,41,4230,67,44,8929,15,1767,651,310,191
"FABP5",16454,65340,257763,81144,68834,303011,76712,346637,140931,108763,478795
"FABP6",324,11,568,34,125,171,223,104,153,35,531
"FABP7",0,0,1,2,0,0,12,0,0,370,1
"FABP9",0,0,0,0,0,0,0,1,1,0,0
"FADD",12322,1800,3137,14896,1964,3163,4500,2363,3830,1696,7703
"FADS1",2117,1227,3268,820,1035,1090,2154,644,5515,341,1589
"FADS2",2361,1772,2287,1000,1192,1599,5141,442,7793,578,367
"FADS3",12069,1714,6766,1649,1109,3212,2240,5681,5636,1088,2166
"FADS6",5,4,262,46,121,66,0,0,3,685,286
"FAF1",4249,1258,2747,4457,4023,2618,2620,4207,4919,4935,3531
"FAF2",4273,3077,6413,4485,3296,5147,3419,7299,7620,3923,4476
"FAH",2705,566,1107,2089,1695,822,915,2959,1101,1241,1406
"FAHD1",2543,1286,2458,2916,2669,6132,3465,2718,6112,1787,3109
"FAHD2A",1519,699,1072,1218,1129,680,880,489,1449,2728,694
"FAHD2B",355,149,218,735,280,177,145,116,1231,907,477
"FAIM",1945,371,858,733,881,948,449,782,1609,558,403
"FAIM2",543,1,18,59,14,19,19,44,0,87,3
"FAM102A",6548,1894,4150,5438,18026,10515,6349,9205,13877,11410,10235
"FAM102B",813,547,529,424,257,486,424,275,1230,956,221
"FAM104A",3216,1812,2950,3870,2720,2643,4453,4988,4093,3158,4135
"FAM104B",888,409,829,1116,1070,473,397,760,920,911,1203
"FAM106A",161,1,201,18,37,5,6,37,0,13,8
"FAM107A",234,370,72,108,124,35,10,69,22,5751,27
"FAM107B",2919,1122,678,944,3075,2453,3518,980,1129,3372,425
"FAM110A",3887,1261,6420,6400,2837,6116,4170,5695,5506,2676,6870
"FAM110B",733,116,131,93,66,80,113,62,92,476,20
"FAM110C",2054,1931,4002,2685,4206,2607,10318,9595,5095,3397,5635
"FAM110D",540,518,35,72,119,102,86,116,64,217,46
"FAM111A",3838,1539,2037,3093,1029,2348,1546,2621,4807,2173,1775
"FAM111B",634,577,572,1473,757,775,714,518,2711,938,297
"FAM114A1",9502,4668,3019,3147,4477,4457,4512,5903,3366,4898,2791
"FAM114A2",1058,715,1557,782,789,655,814,1176,1176,1065,721
"FAM117A",1132,320,421,434,524,390,808,1060,757,1426,353
"FAM117B",693,361,721,302,1532,526,759,430,3998,2219,224
"FAM118A",5236,1114,1203,2858,653,942,1057,777,2511,1421,1061
"FAM118B",1196,813,841,533,611,885,608,688,599,910,393
"FAM120A",12359,7069,15672,12639,7281,13065,11795,10555,20961,10989,6205
