"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"MBLAC1",53.52868826,17.72883925,65.35036171,31.16163608,70.49276786,38.90595705,38.28290323,25.19272862,25.41183053,25.84554469
"MTPN",1082.5777595,1077.03626665,1847.1891864,955.62073955,1495.12555755,1163.0933008,890.598219,1459.26927345,906.90171715,1272.16158635
"PDE4D",17.72883925,28.27213538,34.00319273,17.72883925,29.50792038,17.72883925,17.72883925,42.60494055,88.07277854,17.72883925
"TMEM176A",103.7715269,891.6582876,75.45031666,121.5429628,76.32908668,156.8296372,48.27084059,46.89270583,329.8909766,441.0893445
"CEP57",147.0272003,25.70329087,31.56891423,41.28650457,40.83091105,31.46642699,31.21314918,30.8927336,17.72883925,25.06632241
"PLXNA1",714.933134,348.7339092,420.8787764,424.3160864,792.4843719,126.7742749,842.9255676,312.7281018,278.8228874,1150.977977
"CHSY1",1364.653423,1244.675507,783.1449334,852.2238442,631.906215,1027.010281,1086.781386,1553.040959,618.4367628,615.9637497
"DENND5B",80.81931267,70.60601356,29.17265833,17.72883925,106.4918983,31.59604338,43.89317721,91.00458624,96.01064411,61.6571069
"ASIP",121.1496056,23.80485778,38.16783027,97.23095417,17.72883925,17.72883925,17.72883925,17.72883925,37.92230053,322.1375635
"TRPM1",17.72883925,17.72883925,87.96225359,79.71331399,210.6687214,17.72883925,803.6161214,17.72883925,26.32325806,23.35111209
"SMARCA2",296.7315036,686.1894966,101.3662052,524.3901028,767.9826917,223.663066,524.1786555,300.082965,242.418852,282.6837004
"TUBB3",1475.497596,852.0651518,3381.195163,405.1504955,1396.825692,1793.017516,734.9302821,3296.4535,1154.267784,37.02768347
"SLC25A25",107.216550795,178.082951125,85.923504825,207.298714595,178.396357265,158.117608345,121.395243975,147.35626239,961.02566305,183.51699929
"CLEC2L",17.72883925,17.72883925,17.72883925,35.56017073,29.20125808,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925
"CPT1B",50.84235618,66.24927521,48.51699541,130.1191107,45.41931539,58.36356725,17.72883925,39.92998584,102.1922598,210.8331667
