GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
VWCE,7.9274,9.6086,7.1666,7.1569,7.6857,7.7772,8.3799,9.1016,6.8708,9.5922,8.0889
VWDE,6.4905,6.6727,6.9932,6.1402,7.2214,6.4485,7.0912,6.3323,6.8397,6.0679,6.9925
WAC,10.3552,10.8683,10.81455,10.94445,10.9413,11.24975,10.69185,11.15075,11.09645,10.917,11.23275
WASL,9.5133,9.6764,8.8593,9.7523,10.2805,10.009,8.6063,9.5345,9.1495,9.9901,9.9647
WBP11,9.3974,10.0782,10.2803,10.4916,9.8679,10.6636,9.8973,10.0873,10.4138,10.1718,11.5705
WBP4,7.0843,7.4907,6.4368,6.8263,6.7743,6.4228,6.7047,6.4816,7.1007,7.0276,6.9031
WDFY1,11.6182,12.5645,12.4035,12.2055,12.3558,12.5735,12.2881,12.5025,12.8419,12.3164,12.5822
WDFY3,8.40036666666667,8.56373333333333,8.1165,8.33193333333333,8.96746666666667,8.62246666666667,8.43933333333333,8.83506666666667,8.72886666666667,8.61316666666667,9.60476666666667
WDFY4,8.8149,8.7556,9.0075,8.1805,8.7522,7.4909,8.0308,8.3924,9.2902,7.5936,8.6224
WDHD1,8.2969,8.0345,9.1423,7.7612,8.1996,8.7565,8.307,9.9418,8.6658,8.2586,7.8598
WDR1,12.11865,11.9105,12.07825,11.52825,11.82615,12.30395,11.7116,11.7576,12.28155,12.2349,12.3114
WDR12,8.10005,8.7334,8.80965,9.06105,9.43435,10.0139,8.785,9.70065,9.68945,8.9444,9.6033
WDR17,7.3581,6.70463333333333,6.94403333333333,6.7144,7.0246,6.73546666666667,7.33206666666667,6.4982,6.97073333333333,6.4049,6.78143333333333
WDR20,11.0173,11.181,10.5795,10.2967,10.5572,11.0073,10.9124,10.9325,10.4839,10.4229,9.8076
WDR24,6.7182,7.5551,7.0783,6.9591,6.7624,7.4623,6.94,7.3964,7.0433,6.6189,7.382
WDR26,11.2181,11.4256,11.2678,11.1972,11.0912,11.6247,11.2702,11.4745,10.8612,11.191,11.7132
WDR3,8.64,7.7706,8.9343,9.2665,9.626,9.1327,9.4613,9.5447,9.469,9.7139,9.4275
