"GENE_SYMBOL","GSM5512434","GSM5512437","GSM5512443","GSM5512446","GSM5512449","GSM5512452","GSM5512455","GSM5512458"
"ALDH5A1",407,1353,1861,1151,1398,544,1879,2150
"ALDH6A1",142,1890,1878,1764,1414,560,2869,3835
"ALDH7A1",516,5308,1030,1500,2017,2141,5395,12596
"ALDH8A1",92,192,369,150,342,220,380,3828
"ALDH9A1",346,5681,4083,2045,3867,3134,8238,2904
"ALDOA",36627,154264,62050,63067,23172,18211,59766,54227
"ALDOB",5,8,7,1,4,3,6,10987
"ALDOC",525,4550,1080,768,676,624,1472,2002
"ALG1",413,1859,1142,1218,763,456,1075,892
"ALG10",304,1076,2145,816,1137,769,1467,2688
"ALG10B",232,855,1934,633,793,423,1317,1307
"ALG11",58,430,989,557,747,282,1079,576
"ALG12",562,1999,1507,2158,1262,872,1738,2824
"ALG13",1574,4196,7687,3538,9174,3205,12122,5767
"ALG14",54,486,352,138,225,191,352,264
"ALG1L",760,304,365,242,17,446,132,383
"ALG1L2",124,17,19,17,126,9,80,66
"ALG2",572,2157,1827,1114,1240,790,1780,1505
"ALG3",1706,4351,3454,2181,2097,1445,3179,7201
"ALG5",101,556,1264,827,1132,485,1550,679
"ALG6",180,1319,1489,760,1371,436,1721,1242
"ALG8",210,2491,2186,1244,1411,896,2439,2525
"ALG9",52,274,119,232,223,80,254,322
"ALK",18,46,33,36,352,383,670,40
"ALKBH1",189,2681,1085,1361,874,648,1403,1361
"ALKBH2",804,951,1198,993,557,536,1145,1543
"ALKBH3",240,1110,991,842,579,389,973,429
"ALKBH4",464,660,386,682,293,302,423,639
"ALKBH5",1938,7428,3054,6799,2196,970,3954,3253
"ALKBH6",117,235,354,399,314,225,645,476
"ALKBH7",1528,1065,1000,1306,338,304,586,1287
"ALKBH8",85,702,634,458,837,369,1570,872
"ALLC",6,659,2,8,0,1,14,3
"ALMS1",4141,36710,24367,46269,19592,10820,42870,45419
"ALOX12",33,91,119,71,15,20,113,191
"ALOX12B",8138,326,24233,1607,4111,2092,15212,52
"ALOX15",6,345,119,29,141,5,96,7
"ALOX15B",7,312,92,28,897,95,762,227
"ALOX5",1116,1974,4821,2530,8577,5569,10818,2963
"ALOX5AP",111,443,917,200,1338,995,1584,2114
"ALOXE3",15,22,36,4,39,0,41,1
"ALPI",0,80,2,0,0,1,0,0
"ALPK1",544,999,4194,1355,6927,4865,9562,4498
"ALPK2",52,68,807,58,1616,9218,3341,4710
"ALPK3",341,2094,882,562,717,885,2652,1403
"ALPL",128,1519,375,46763,1025,791,1659,1001
"ALPP",8,38,5,7,0,13,14,0
"ALS2",413,5537,2461,2279,2615,1464,4868,4237
"ALS2CL",563,854,1028,472,540,168,1490,328
"ALX1",1,92,20,26,33,36,99,8
"ALX3",4,16,5,115,7,7,35,6
"ALX4",2,6,7,38,1,1,12,1
"ALYREF",2450,7233,4604,7677,3330,2606,5107,11404
"AMACR",119,351,423,138,76,111,169,183
"AMBN",7,0,3,0,0,2,1,0
"AMBP",2,16,31,2,4,2,8,12854
"AMBRA1",2578,3249,4932,6630,5270,3346,7775,8364
"AMD1",942,5290,4688,5926,3589,2471,5001,13993
"AMDHD1",0,59,11,16,43,26,48,335
"AMDHD2",3485,3663,4345,3910,2776,2327,5494,3352
"AMELX",1,2,4,0,0,0,32,0
"AMELY",0,0,11,0,0,4,0,0
"AMER1",1342,2636,3961,2637,3665,1931,5262,5117
"AMER2",0,94,17,2,2,2,11,2
"AMER3",0,1,1,1,0,2,1,0
