"GENE_SYMBOL","GSM4128049","GSM4128050","GSM4128051","GSM4128052","GSM4128053","GSM4128054"
"ALS2CL",64,69,46,4,55,7
"ALX1",0,18,0,0,0,0
"ALX3",0,10,0,1,0,0
"ALX4",6,0,0,0,9,0
"ALYREF",178,385,574,516,650,1711
"AMACR",3,0,1,0,1,0
"AMBN",0,0,0,0,0,0
"AMBP",0,0,12,0,31,0
"AMBRA1",163,216,179,105,190,8
"AMD1",337,1232,380,791,1057,11
"AMDHD1",0,8,0,0,0,0
"AMDHD2",839,1801,1036,1690,799,127
"AMELX",0,0,0,0,0,0
"AMELY",0,0,0,0,0,0
"AMER1",81,202,114,62,235,289
"AMER2",0,0,0,0,58,0
"AMER3",0,0,0,0,0,0
"AMFR",208,15,192,349,435,207
"AMH",3,22,90,81,1,0
"AMHR2",0,0,2,0,0,0
"AMIGO1",88,18,19,56,116,0
"AMIGO2",123,31,853,1200,1674,5
"AMIGO3",0,10,2,0,0,0
"AMMECR1",197,300,130,1159,426,0
"AMMECR1L",156,380,214,42,405,0
"AMN",0,0,0,1,17,0
"AMN1",27,1,23,43,38,0
"AMOT",353,944,188,1204,673,6
"AMOTL1",307,75,433,149,591,0
"AMOTL2",59,0,254,182,43,1421
"AMPD1",47,19,0,0,9,0
"AMPD2",236,414,452,174,961,37
"AMPD3",131,22,132,112,74,297
"AMPH",24,0,120,0,124,0
"AMT",307,318,260,261,379,48
"AMTN",0,9,0,0,0,0
"AMY1A",0,0,0,0,0,0
"AMY1B",0,0,0,0,0,0
"AMY1C",0,0,0,0,0,0
"AMY2A",0,0,0,0,0,0
"AMY2B",60,616,45,3,248,9
"AMZ1",0,0,4,1,35,0
"AMZ2",245,270,190,389,589,0
"ANAPC1",5,6,16,38,45,0
"ANAPC10",22,38,21,13,28,0
"ANAPC11",409,2225,1187,1380,2695,1168
"ANAPC13",138,567,298,666,334,7
"ANAPC15",121,545,193,201,333,1
"ANAPC16",838,1063,489,1523,1424,690
"ANAPC2",19,318,42,17,89,0
"ANAPC4",260,66,99,11,231,0
"ANAPC5",1250,2693,1648,1599,983,530
"ANAPC7",543,2193,609,609,686,13
"ANG",96,12,141,187,283,0
"ANGEL1",159,7,13,153,96,0
"ANGEL2",243,438,225,929,398,0
"ANGPT1",15,8,39,1,1,0
"ANGPT2",85,53,88,99,314,1
"ANGPT4",8,0,0,0,0,0
"ANGPTL1",18,0,4,22,7,0
"ANGPTL2",1315,9,1219,163,700,22
"ANGPTL3",0,0,0,0,0,0
"ANGPTL4",484,0,24,0,178,63
"ANGPTL5",0,0,0,0,0,0
"ANGPTL6",41,33,41,26,25,0
"ANGPTL7",0,0,0,0,0,0
"ANHX",1,0,0,0,0,0
